text,label
Peace talks resume between two countries,positive
Missile strikes hit border region,negative
Foreign ministers meet in Brussels,neutral
New cooperation agreement signed,positive
Economic sanctions increase tensions,negative
President attends international summit,neutral
Ceasefire agreement brings hope,positive
Violent clashes erupt near border,negative
Diplomats discuss regional security,neutral
Humanitarian aid reaches civilians,positive
Political crisis deepens after protests,negative
Leaders gather for climate summit,neutral
